BUSINESS_DATE,SECURITY_NAME,SYMBOL,AVERAGE_TRADED_PRICE
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,1001.0
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,952.18
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,972.7
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,953.7
2023-07-16,10% Nabil Debenture 2082,NBLD82,1010.0
2023-07-13,10% Nabil Debenture 2082,NBLD82,990.4
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,965.8
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,1090.8
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,1051.02
2023-07-17,10% Prime Debenture 2088,PBD88,901.2
2023-07-16,10% Prime Debenture 2088,PBD88,961.55
2023-07-13,10% Prime Debenture 2088,PBD88,949.07
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,1130.8
2023-07-13,10% Sunrise Debenture 2080,SRD80,1020.0
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,1051.33
2023-07-17,10.25% KBL Debenture 2086,KBLD86,1073.6
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,1050.14
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,1199.46
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,1158.7
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,1097.5
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,1090.0
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,1000.0
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,960.0
2023-07-13,10.25% SBL Debenture 2083,SBLD83,1058.47
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,1070.0
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,1084.85
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,1074.0
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,1028.47
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,1027.8
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,1024.13
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,1019.2
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,1121.29
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,1095.42
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,1122.37
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,1104.53
2023-07-16,12% ICFC Finance Limited Debenture 2083,ICFCD83,1134.8
2023-07-13,12% ICFC Finance Limited Debenture 2083,ICFCD83,1140.91
2023-07-17,8.5% BOK Debenture 2086,BOKD86,819.18
2023-07-16,8.5% BOK Debenture 2086,BOKD86,851.05
2023-07-16,8.5% Laxmi Bank Debenture 2088,LBLD88,818.0
2023-07-13,8.5% Nepal Bank Debenture 2087,NBLD87,842.66
2023-07-17,8.5% Nepal Investment Bank Debenture 2084,NIBD84,841.25
2023-07-16,8.5% Nepal Investment Bank Debenture 2084,NIBD84,865.0
2023-07-13,8.5% Nepal Investment Bank Debenture 2084,NIBD84,845.53
2023-07-16,8.5% Prabhu Bank Debenture 2087,PBLD87,809.7
2023-07-13,8.5% Prabhu Bank Debenture 2087,PBLD87,793.9
2023-07-17,8.5% SBL Debenture 2084,SBLD84,862.4
2023-07-16,8.5% Sanima Debenture 2087,SBD87,857.9
2023-07-13,8.5% Sanima Debenture 2087,SBD87,845.0
2023-07-16,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,979.37
2023-07-13,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,985.45
2023-07-17,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,664.19
2023-07-16,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,642.48
2023-07-13,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,664.13
2023-07-17,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,2392.07
2023-07-16,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,2359.08
2023-07-13,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,2373.99
2023-07-17,Agricultural Development Bank Limited,ADBL,238.13
2023-07-16,Agricultural Development Bank Limited,ADBL,230.4
2023-07-13,Agricultural Development Bank Limited,ADBL,230.09
2023-07-17,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,196.1
2023-07-16,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,194.97
2023-07-13,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,201.15
2023-07-17,Api Power Company Ltd.,API,200.49
2023-07-16,Api Power Company Ltd.,API,198.98
2023-07-13,Api Power Company Ltd.,API,203.45
2023-07-17,Arun Kabeli Power Ltd.,AKPL,231.39
2023-07-16,Arun Kabeli Power Ltd.,AKPL,232.78
2023-07-13,Arun Kabeli Power Ltd.,AKPL,242.17
2023-07-17,Arun Valley Hydropower Development Co. Ltd.,AHPC,258.44
2023-07-16,Arun Valley Hydropower Development Co. Ltd.,AHPC,254.62
2023-07-13,Arun Valley Hydropower Development Co. Ltd.,AHPC,265.08
2023-07-17,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,796.62
2023-07-16,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,779.02
2023-07-13,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,780.9
2023-07-17,Asian Hydropower Limited,AHL,337.96
2023-07-16,Asian Hydropower Limited,AHL,332.43
2023-07-13,Asian Hydropower Limited,AHL,344.04
2023-07-17,Asian Life Insurance Co. Limited,ALICL,760.82
2023-07-16,Asian Life Insurance Co. Limited,ALICL,754.54
2023-07-13,Asian Life Insurance Co. Limited,ALICL,755.57
2023-07-17,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,717.46
2023-07-16,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,695.54
2023-07-13,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,718.57
2023-07-17,BPW Laghubitta Bittiya Sanstha Limited,BPW,1205.19
2023-07-16,BPW Laghubitta Bittiya Sanstha Limited,BPW,1122.5
2023-07-13,BPW Laghubitta Bittiya Sanstha Limited,BPW,1151.35
2023-07-17,Balephi Hydropower Limited,BHL,259.09
2023-07-16,Balephi Hydropower Limited,BHL,254.58
2023-07-13,Balephi Hydropower Limited,BHL,261.68
2023-07-17,Barahi Hydropower Public Limited,BHPL,455.52
2023-07-16,Barahi Hydropower Public Limited,BHPL,450.85
2023-07-13,Barahi Hydropower Public Limited,BHPL,455.61
2023-07-17,Barun Hydropower Co. Ltd.,BARUN,251.32
2023-07-16,Barun Hydropower Co. Ltd.,BARUN,248.15
2023-07-13,Barun Hydropower Co. Ltd.,BARUN,253.83
2023-07-17,Best Finance Company Ltd.,BFC,361.99
2023-07-16,Best Finance Company Ltd.,BFC,353.58
2023-07-13,Best Finance Company Ltd.,BFC,357.35
