BUSINESS_DATE,SECURITY_NAME,SYMBOL,HIGH_PRICE
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,1001.0
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,987.4
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,972.7
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,953.7
2023-07-16,10% Nabil Debenture 2082,NBLD82,1010.0
2023-07-13,10% Nabil Debenture 2082,NBLD82,990.4
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,965.8
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,1090.8
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,1069.5
2023-07-17,10% Prime Debenture 2088,PBD88,931.0
2023-07-16,10% Prime Debenture 2088,PBD88,988.0
2023-07-13,10% Prime Debenture 2088,PBD88,968.9
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,1130.8
2023-07-13,10% Sunrise Debenture 2080,SRD80,1020.0
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,1075.0
2023-07-17,10.25% KBL Debenture 2086,KBLD86,1084.4
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,1116.0
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,1252.1
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,1158.7
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,1097.5
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,1090.0
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,1000.0
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,979.0
2023-07-13,10.25% SBL Debenture 2083,SBLD83,1098.5
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,1070.0
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,1123.0
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,1074.0
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,1044.0
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,1030.0
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,1060.2
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,1019.2
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,1170.0
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,1099.0
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,1132.2
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,1110.0
2023-07-16,12% ICFC Finance Limited Debenture 2083,ICFCD83,1186.0
2023-07-13,12% ICFC Finance Limited Debenture 2083,ICFCD83,1146.9
2023-07-17,8.5% BOK Debenture 2086,BOKD86,842.3
2023-07-16,8.5% BOK Debenture 2086,BOKD86,859.4
2023-07-16,8.5% Laxmi Bank Debenture 2088,LBLD88,818.0
