BUSINESS_DATE,SECURITY_NAME,SYMBOL,TOTAL_TRADED_QUANTITY
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,10
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,50
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,10
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,25
2023-07-16,10% Nabil Debenture 2082,NBLD82,25
2023-07-13,10% Nabil Debenture 2082,NBLD82,35
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,10
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,10
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,195
2023-07-17,10% Prime Debenture 2088,PBD88,455
2023-07-16,10% Prime Debenture 2088,PBD88,265
2023-07-13,10% Prime Debenture 2088,PBD88,480
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,10
2023-07-13,10% Sunrise Debenture 2080,SRD80,25
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,45
2023-07-17,10.25% KBL Debenture 2086,KBLD86,20
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,348
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,125
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,10
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,10
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,10
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,25
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,30
2023-07-13,10.25% SBL Debenture 2083,SBLD83,80
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,10
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,515
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,10
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,663
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,235
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,180
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,10
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,599
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,35
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,220
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,380
