BUSINESS_DATE,SECURITY_NAME,SYMBOL,TOTAL_TRADED_VALUE
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,10010.0
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,47609.0
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,9727.0
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,23842.5
2023-07-16,10% Nabil Debenture 2082,NBLD82,25250.0
2023-07-13,10% Nabil Debenture 2082,NBLD82,34664.0
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,9658.0
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,10908.0
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,204950.0
2023-07-17,10% Prime Debenture 2088,PBD88,410047.5
2023-07-16,10% Prime Debenture 2088,PBD88,254813.0
2023-07-13,10% Prime Debenture 2088,PBD88,455555.5
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,11308.0
2023-07-13,10% Sunrise Debenture 2080,SRD80,25500.0
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,47310.0
2023-07-17,10.25% KBL Debenture 2086,KBLD86,21472.0
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,365450.5
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,149933.0
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,11587.0
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,10975.0
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,10900.0
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,25000.0
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,28800.0
2023-07-13,10.25% SBL Debenture 2083,SBLD83,84678.0
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,10700.0
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,558698.0
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,10740.0
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,681876.6
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,241535.0
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,184344.5
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,10192.0
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,671656.5
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,38340.0
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,246922.0
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,419724.0
2023-07-16,12% ICFC Finance Limited Debenture 2083,ICFCD83,73762.0
2023-07-13,12% ICFC Finance Limited Debenture 2083,ICFCD83,79864.0
2023-07-17,8.5% BOK Debenture 2086,BOKD86,40959.0
2023-07-16,8.5% BOK Debenture 2086,BOKD86,42552.5
2023-07-16,8.5% Laxmi Bank Debenture 2088,LBLD88,20450.0
2023-07-13,8.5% Nepal Bank Debenture 2087,NBLD87,139039.0
2023-07-17,8.5% Nepal Investment Bank Debenture 2084,NIBD84,33650.0
2023-07-16,8.5% Nepal Investment Bank Debenture 2084,NIBD84,21625.0
2023-07-13,8.5% Nepal Investment Bank Debenture 2084,NIBD84,38049.0
2023-07-16,8.5% Prabhu Bank Debenture 2087,PBLD87,20242.5
2023-07-13,8.5% Prabhu Bank Debenture 2087,PBLD87,11908.5
2023-07-17,8.5% SBL Debenture 2084,SBLD84,12936.0
2023-07-16,8.5% Sanima Debenture 2087,SBD87,8579.0
2023-07-13,8.5% Sanima Debenture 2087,SBD87,33800.0
2023-07-16,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,44072.0
2023-07-13,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,133036.5
2023-07-17,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,1642561.9
