BUSINESS_DATE,SECURITY_NAME,SYMBOL,TOTAL_TRADES
2023-07-16,10 % NMB DEBENTURE 2085,NMBD2085,1
2023-07-13,10 % NMB DEBENTURE 2085,NMBD2085,5
2023-07-16,10% Laxmi Bank Debenture 2086,LBLD86,1
2023-07-13,10% Laxmi Bank Debenture 2086,LBLD86,1
2023-07-16,10% Nabil Debenture 2082,NBLD82,1
2023-07-13,10% Nabil Debenture 2082,NBLD82,2
2023-07-13,10% Nepal SBI Bank Debenture 2086,SBIBD86,1
2023-07-16,10% Prabhu Bank Debenture 2084 ,PBLD84,1
2023-07-13,10% Prabhu Bank Debenture 2084 ,PBLD84,6
2023-07-17,10% Prime Debenture 2088,PBD88,8
2023-07-16,10% Prime Debenture 2088,PBD88,7
2023-07-13,10% Prime Debenture 2088,PBD88,13
2023-07-16,10% Sanima Bank Limited Debenture,SAND2085,1
2023-07-13,10% Sunrise Debenture 2080,SRD80,1
2023-07-13,10.25% GLOBAL IME BANK LTD. DEBENTURE 2080/81,GBD80/81,3
2023-07-17,10.25% KBL Debenture 2086,KBLD86,2
2023-07-16,10.25% Machhapuchhre Bank Debenture 2085,MBLD2085,16
2023-07-16,10.25% NBBL Debenture 2085,NBBD2085,6
2023-07-13,10.25% NBBL Debenture 2085,NBBD2085,1
2023-07-16,10.25% NIC Asia Debenture 2083/84,NICD83/84,1
2023-07-13,10.25% NIC Asia Debenture 2083/84,NICD83/84,1
2023-07-16,10.25% Nepal SBI Bank Debenture 2083,SBID83,1
2023-07-16,10.25% Prabhu Bank  Debenture 2086,PBLD86,3
2023-07-13,10.25% SBL Debenture 2083,SBLD83,6
2023-07-13,10.25% Sunrise Bank Debenture 2083,SRBLD83,1
2023-07-16,10.35% Agricultural Bank Debenture 2083,ADBLD83,14
2023-07-13,10.35% Agricultural Bank Debenture 2083,ADBLD83,1
2023-07-16,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,18
2023-07-13,10.5 % NEPAL INVESTMENT DEBENTURE 2082,NIBD2082,3
2023-07-16,10.50% SBL Debenture 2082,SBLD2082,4
2023-07-13,10.50% SBL Debenture 2082,SBLD2082,1
2023-07-16,11% NIC Asia Debenture 082/83,NICAD8283,13
2023-07-13,11% NIC Asia Debenture 082/83,NICAD8283,2
2023-07-16,12 % Goodwill Finance Limited Debenture 2083,GWFD83,5
2023-07-13,12 % Goodwill Finance Limited Debenture 2083,GWFD83,7
2023-07-16,12% ICFC Finance Limited Debenture 2083,ICFCD83,3
2023-07-13,12% ICFC Finance Limited Debenture 2083,ICFCD83,3
2023-07-17,8.5% BOK Debenture 2086,BOKD86,5
2023-07-16,8.5% BOK Debenture 2086,BOKD86,2
2023-07-16,8.5% Laxmi Bank Debenture 2088,LBLD88,2
2023-07-13,8.5% Nepal Bank Debenture 2087,NBLD87,6
2023-07-17,8.5% Nepal Investment Bank Debenture 2084,NIBD84,3
2023-07-16,8.5% Nepal Investment Bank Debenture 2084,NIBD84,1
2023-07-13,8.5% Nepal Investment Bank Debenture 2084,NIBD84,3
2023-07-16,8.5% Prabhu Bank Debenture 2087,PBLD87,1
2023-07-13,8.5% Prabhu Bank Debenture 2087,PBLD87,1
2023-07-17,8.5% SBL Debenture 2084,SBLD84,1
2023-07-16,8.5% Sanima Debenture 2087,SBD87,1
2023-07-13,8.5% Sanima Debenture 2087,SBD87,2
2023-07-16,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,2
2023-07-13,9.5% Manjushree Finance Limited Debenture 2085,MFLD85,7
2023-07-17,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,66
2023-07-16,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,31
2023-07-13,Aarambha Chautari Laghubitta Bittiya Sanstha Limited,ACLBSL,71
2023-07-17,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,92
2023-07-16,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,52
2023-07-13,Aatmanirbhar Laghubitta Bittiya Sanstha Limited,ANLB,85
2023-07-17,Agricultural Development Bank Limited,ADBL,284
2023-07-16,Agricultural Development Bank Limited,ADBL,195
2023-07-13,Agricultural Development Bank Limited,ADBL,192
2023-07-17,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,91
2023-07-16,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,103
2023-07-13,Ankhu Khola Jalvidhyut Company Ltd,AKJCL,197
2023-07-17,Api Power Company Ltd.,API,371
2023-07-16,Api Power Company Ltd.,API,315
2023-07-13,Api Power Company Ltd.,API,662
2023-07-17,Arun Kabeli Power Ltd.,AKPL,454
2023-07-16,Arun Kabeli Power Ltd.,AKPL,326
2023-07-13,Arun Kabeli Power Ltd.,AKPL,650
2023-07-17,Arun Valley Hydropower Development Co. Ltd.,AHPC,246
2023-07-16,Arun Valley Hydropower Development Co. Ltd.,AHPC,204
2023-07-13,Arun Valley Hydropower Development Co. Ltd.,AHPC,529
2023-07-17,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,45
2023-07-16,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,19
2023-07-13,Asha Laghubitta Bittiya Sanstha Ltd,ALBSL,51
2023-07-17,Asian Hydropower Limited,AHL,135
2023-07-16,Asian Hydropower Limited,AHL,100
2023-07-13,Asian Hydropower Limited,AHL,142
2023-07-17,Asian Life Insurance Co. Limited,ALICL,214
2023-07-16,Asian Life Insurance Co. Limited,ALICL,213
2023-07-13,Asian Life Insurance Co. Limited,ALICL,361
2023-07-17,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,316
2023-07-16,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,97
2023-07-13,Aviyan Laghubitta Bittiya Sanstha Limited,AVYAN,163
2023-07-17,BPW Laghubitta Bittiya Sanstha Limited,BPW,89
2023-07-16,BPW Laghubitta Bittiya Sanstha Limited,BPW,57
2023-07-13,BPW Laghubitta Bittiya Sanstha Limited,BPW,62
2023-07-17,Balephi Hydropower Limited,BHL,101
2023-07-16,Balephi Hydropower Limited,BHL,102
2023-07-13,Balephi Hydropower Limited,BHL,125
2023-07-17,Barahi Hydropower Public Limited,BHPL,61
2023-07-16,Barahi Hydropower Public Limited,BHPL,56
2023-07-13,Barahi Hydropower Public Limited,BHPL,61
2023-07-17,Barun Hydropower Co. Ltd.,BARUN,108
2023-07-16,Barun Hydropower Co. Ltd.,BARUN,76
2023-07-13,Barun Hydropower Co. Ltd.,BARUN,253
2023-07-17,Best Finance Company Ltd.,BFC,152
2023-07-16,Best Finance Company Ltd.,BFC,86
2023-07-13,Best Finance Company Ltd.,BFC,184
2023-07-17,Bhugol Energy Development Company Limited,BEDC,386
2023-07-16,Bhugol Energy Development Company Limited,BEDC,292
2023-07-13,Bhugol Energy Development Company Limited,BEDC,331
2023-07-17,Bindhyabasini Hydropower Development Company Limited,BHDC,78
2023-07-16,Bindhyabasini Hydropower Development Company Limited,BHDC,105
2023-07-13,Bindhyabasini Hydropower Development Company Limited,BHDC,130
2023-07-17,Bishal Bazar Company Limited,BBC,20
2023-07-16,Bishal Bazar Company Limited,BBC,7
2023-07-13,Bishal Bazar Company Limited,BBC,9
2023-07-17,Bottlers Nepal (Terai) Limited,BNT,4
2023-07-13,Bottlers Nepal (Terai) Limited,BNT,3
2023-07-17,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,46
2023-07-16,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,42
2023-07-13,Buddha Bhumi Nepal Hydropower Company Limited,BNHC,70
2023-07-17,Butwal Power Company Limited,BPCL,98
2023-07-16,Butwal Power Company Limited,BPCL,97
2023-07-13,Butwal Power Company Limited,BPCL,127
2023-07-17,CEDB Hydropower Development Company Limited,CHDC,220
2023-07-16,CEDB Hydropower Development Company Limited,CHDC,138
2023-07-13,CEDB Hydropower Development Company Limited,CHDC,267
2023-07-16,CITIZENS MUTUAL FUND 2,CMF2,43
2023-07-13,CITIZENS MUTUAL FUND 2,CMF2,21
2023-07-17,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,288
2023-07-16,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,275
2023-07-13,CYC Nepal Laghubitta Bittiya Sanstha Limited,CYCL,325
2023-07-17,Central Finance Co. Ltd.,CFCL,161
2023-07-16,Central Finance Co. Ltd.,CFCL,94
2023-07-13,Central Finance Co. Ltd.,CFCL,256
2023-07-16,Century Debenture 2088,CCBD88,1
2023-07-13,Century Debenture 2088,CCBD88,3
2023-07-17,Chandragiri Hills Limited,CGH,146
2023-07-16,Chandragiri Hills Limited,CGH,36
2023-07-13,Chandragiri Hills Limited,CGH,67
2023-07-17,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,307
2023-07-16,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,237
2023-07-13,Chhimek Laghubitta Bittiya Sanstha Limited,CBBL,286
2023-07-17,Chhyangdi Hydropower Ltd.,CHL,46
2023-07-16,Chhyangdi Hydropower Ltd.,CHL,21
2023-07-13,Chhyangdi Hydropower Ltd.,CHL,66
2023-07-17,Chilime Hydropower Company Limited,CHCL,164
2023-07-16,Chilime Hydropower Company Limited,CHCL,163
2023-07-13,Chilime Hydropower Company Limited,CHCL,297
2023-07-17,Citizen Investment Trust,CIT,290
2023-07-16,Citizen Investment Trust,CIT,313
2023-07-13,Citizen Investment Trust,CIT,423
2023-07-17,Citizens Bank International Limited,CZBIL,284
2023-07-16,Citizens Bank International Limited,CZBIL,121
2023-07-13,Citizens Bank International Limited,CZBIL,146
2023-07-17,Citizens Mutual Fund -1,CMF1,7
2023-07-16,Citizens Mutual Fund -1,CMF1,19
2023-07-13,Citizens Mutual Fund -1,CMF1,7
2023-07-17,City Hotel Limited,CITY,1207
2023-07-16,City Hotel Limited,CITY,936
2023-07-13,City Hotel Limited,CITY,1765
2023-07-16,Civil Bank Debenture 2088,CBLD88,13
2023-07-13,Civil Bank Debenture 2088,CBLD88,5
2023-07-17,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,42
2023-07-16,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,21
2023-07-13,Civil Laghubitta Bittiya Sanstha Ltd.,CLBSL,34
2023-07-17,Corporate Development Bank Limited,CORBL,147
2023-07-16,Corporate Development Bank Limited,CORBL,119
2023-07-13,Corporate Development Bank Limited,CORBL,112
2023-07-13,Deprosc LaghuBitta Promoter Share,DDBLPO,1
2023-07-17,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,124
2023-07-16,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,116
2023-07-13,Deprosc Laghubitta Bittiya Sanstha Limited,DDBL,231
2023-07-17,Dibyashwori Hydropower Ltd.,DHPL,40
2023-07-16,Dibyashwori Hydropower Ltd.,DHPL,33
2023-07-13,Dibyashwori Hydropower Ltd.,DHPL,72
2023-07-17,Dolti Power Company Limited,DOLTI,316
2023-07-16,Dolti Power Company Limited,DOLTI,284
2023-07-13,Dolti Power Company Limited,DOLTI,294
2023-07-17,Dordi Khola Jal Bidyut Company Limited,DORDI,114
2023-07-16,Dordi Khola Jal Bidyut Company Limited,DORDI,156
2023-07-13,Dordi Khola Jal Bidyut Company Limited,DORDI,160
