S.N,BUSINESS_DATE,SECURITY_ID,SYMBOL,SECURITY_NAME,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,TOTAL_TRADED_QUANTITY,TOTAL_TRADED_VALUE,PREVIOUS_DAY_CLOSE_PRICE,FIFTY_TWO_WEEKS_HIGH,FIFTY_TWO_WEEKS_LOW,LAST_UPDATED_TIME,LAST_UPDATED_PRICE,TOTAL_TRADES,AVERAGE_TRADED_PRICE,MARKET_CAPITALIZATION
1,2023-07-13,133,SCB,Standard Chartered Bank Limited,539.0000,539.0000,528.1000,529.0000,13008,6922633.4000,529.0000,572.0000,387.0000,2023-07-13T14:59:53.052421,529.0000,143,532.18,49881.81
2,2023-07-13,134,HBL,Himalayan Bank Limited,209.0000,212.0000,208.9000,208.9000,19046,4006388.5000,208.0000,369.3000,206.0000,2023-07-13T14:59:42.306678,208.9000,156,210.35,45240.67
3,2023-07-13,135,SBI,Nepal SBI Bank Limited,342.0000,347.5000,335.2000,342.9000,49096,16667381.2000,338.0000,378.4000,251.0000,2023-07-13T14:59:57.756802,342.9000,123,339.48,34703.64
4,2023-07-13,137,EBL,Everest Bank Limited,565.0000,568.0000,560.0000,562.0000,50396,28384806.8000,559.9000,596.7000,421.5000,2023-07-13T14:59:22.717570,562.0000,251,563.23,60123.29
5,2023-07-13,141,LBL,Laxmi Bank Limited,175.3000,177.9000,170.0000,173.0000,21479,3708537.6000,172.0000,220.0000,167.5000,2023-07-13T14:59:57.883757,173.0000,110,172.65,19983.83
6,2023-07-13,147,SHL,Soaltee Hotel Limited,475.0000,499.0000,475.0000,486.0000,364928,179294561.9000,480.1000,536.0000,191.8000,2023-07-13T14:59:59.922202,486.0000,767,491.31,42997.15
7,2023-07-13,152,NHPC,National Hydro Power Company Limited,185.7000,190.9000,180.0000,180.5000,115790,21490180.9000,182.1000,297.8000,165.1000,2023-07-13T14:59:49.292650,180.5000,615,185.59,4332.00
8,2023-07-13,153,BPCL,Butwal Power Company Limited,335.0000,341.0000,327.3000,327.3000,11483,3799436.1000,331.0000,377.0000,288.0000,2023-07-13T14:59:46.666728,327.3000,127,330.87,11157.87
9,2023-07-13,154,CHCL,Chilime Hydropower Company Limited,549.0000,552.0000,536.0000,538.0000,137437,75090985.0000,540.0000,594.0000,350.1000,2023-07-13T14:59:51.181042,538.0000,297,546.36,39049.01
10,2023-07-13,156,BBC,Bishal Bazar Company Limited,3460.0000,3465.0000,3410.0000,3410.1000,105,359771.5000,3470.0000,4075.0000,3050.0000,2023-07-13T14:58:05.165309,3410.1000,9,3426.39,1675.72
11,2023-07-13,163,NUBL,Nirdhan Utthan Laghubitta Bittiya Sanstha Limited,748.0000,749.9000,724.1000,729.0000,13990,10289183.8000,734.5000,1154.0000,512.1000,2023-07-13T14:59:41.588160,729.0000,144,735.46,19042.06
12,2023-07-13,164,CBBL,Chhimek Laghubitta Bittiya Sanstha Limited,1000.0000,1000.0000,975.0000,980.0000,17830,17589442.0000,985.0000,1303.0000,727.0000,2023-07-13T14:59:49.174391,980.0000,286,986.50,27786.94
13,2023-07-13,166,DDBL,Deprosc Laghubitta Bittiya Sanstha Limited,817.1000,836.0000,815.0000,822.1000,18771,15566191.3000,816.0000,1178.0000,606.7000,2023-07-13T14:59:53.485026,822.1000,231,829.26,12751.50
14,2023-07-13,171,SANIMA,Sanima Bank Limited,260.0000,262.9000,250.9000,254.0000,149038,38122770.1000,257.9000,283.0000,222.0000,2023-07-13T14:59:57.392305,254.0000,393,255.79,31648.69
15,2023-07-13,172,NABBC,Narayani Development Bank Limited,409.0000,440.0000,409.0000,410.0000,7958,3410393.3000,412.0000,513.7000,336.0000,2023-07-13T14:59:56.151273,410.0000,46,428.54,1076.12
16,2023-07-13,177,RBCL,Rastriya Beema Company Limited,15115.0000,15400.0000,15000.0000,15190.0000,679,10284084.3000,15200.0000,17140.0000,12200.0000,2023-07-13T14:59:18.609349,15190.0000,44,15145.92,40502.08
17,2023-07-13,178,NLICL,National Life Insurance Co. Ltd.,661.0000,668.9000,646.0000,647.0000,23994,15727865.6000,659.0000,705.0000,492.0000,2023-07-13T14:59:55.381963,647.0000,197,655.49,32425.48
18,2023-07-13,185,SALICO,Sagarmatha Lumbini Insurance Co. Limited,751.0000,770.0000,741.4000,750.0000,34844,26400449.9000,758.0000,957.0000,551.4000,2023-07-13T14:59:11.740347,750.0000,147,757.67,19669.79
19,2023-07-13,187,NLIC,Nepal Life Insurance Co. Ltd.,750.0000,755.0000,740.0000,740.1000,46006,34370148.1000,745.0000,836.4000,570.0000,2023-07-13T14:59:54.871993,740.1000,489,747.07,60747.16
20,2023-07-13,188,LICN,Life Insurance Corporation (Nepal) Limited,1615.0000,1615.0000,1565.0000,1566.0000,6396,10127536.1000,1603.0000,1800.0000,1183.0000,2023-07-13T14:59:46.325005,1566.0000,71,1583.41,41549.11
21,2023-07-13,192,SICL,Shikhar Insurance Co. Ltd.,873.0000,873.0000,843.0000,846.0000,19035,16274242.9000,856.0000,1010.0000,682.0000,2023-07-13T14:59:59.272473,846.0000,198,854.96,22460.85
22,2023-07-13,227,BFC,Best Finance Company Ltd.,369.2000,369.2000,350.0000,353.9000,29318,10476963.0000,362.0000,475.0000,287.0000,2023-07-13T14:59:45.314530,353.9000,184,357.35,3025.20
23,2023-07-13,232,GFCL,Goodwill Finance Limited,487.3000,503.0000,482.0000,482.0000,16358,8002401.8000,497.0000,634.0000,405.1000,2023-07-13T14:59:58.951066,482.0000,128,489.20,4560.28
24,2023-07-13,235,HDL,Himalayan Distillery Limited,2308.0000,2308.0000,2230.0000,2241.0000,30425,68658169.8000,2265.0000,4323.0000,1806.6000,2023-07-13T14:59:57.575844,2241.0000,771,2256.63,54446.59
25,2023-07-13,244,SIFC,Shree Investment Finance Co. Ltd.,394.0000,394.7000,376.0000,378.0000,29961,11452948.8000,387.0000,408.5000,273.1000,2023-07-13T14:59:53.489038,378.0000,173,382.26,3710.76
26,2023-07-13,250,JFL,Janaki Finance Company Limited,404.0000,418.0000,403.0000,404.0000,17384,7084954.3000,408.9000,527.0000,332.2000,2023-07-13T14:59:53.631213,404.0000,123,407.55,2789.51
27,2023-07-13,263,GMFIL,Guheshowori Merchant Bank & Finance Co. Ltd.,391.9000,407.0000,391.9000,399.8000,46193,18430481.8000,399.0000,424.0000,277.0000,2023-07-13T14:59:57.942211,399.8000,190,398.98,4046.68
28,2023-07-13,268,SWBBL,Swabalamban Laghubitta Bittiya Sanstha Limited,892.5000,892.5000,858.1000,869.9000,9755,8475729.5000,875.0000,1407.0000,686.1000,2023-07-13T14:59:17.396606,869.9000,97,868.86,11226.02
